,cena (zł),powierzchnia,liczba pokoi,piętro,adres,rynek,rodzaj zabudowy,materiał budynku,okna,ogrzewanie,rok budowy,stan wykończenia (do),czynsz,forma własności,internet,telewizja kablowa,telefon,rolety antywłamaniowe,drzwi/okna antywłamaniowe,domofon/wideofon,monitoring/ochrona,system alarmowy,teren zamknięty,meble,pralka,zmywarka,lodówka,kuchenka,piekarnik,telewizor,balkon,pom. użytkowe,garaż/miejsce parkingowe,piwnica,ogródek,taras,winda,dwupoziomowe,oddzielna kuchnia,klimatyzacja
30,1500000.0,112.3,4,2,Śródmieście,wtórny,blok,0,0,miejskie,2013,0,0,pełna,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
31,980000.0,113.7,4,1,Mały Kack,wtórny,apartamentowiec,0,0,miejskie,2004,0,0,pełna,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
32,559000.0,86.0,3,1,Redłowo,wtórny,blok,cegła,0,miejskie,1970,zamieszkania,0,pełna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
35,325000.0,51.0,3,1,Gdynia,pierwotny,apartamentowiec,cegła,plastikowe,gazowe,2016,wykończenia,0,pełna,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
36,560000.0,85.4,3,3,Śródmieście,wtórny,kamienica,cegła,plastikowe,gazowe,1936,zamieszkania,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
37,452000.0,82.19,3,2,Cisowa,wtórny,blok,cegła,plastikowe,miejskie,2008,zamieszkania,0,pełna,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0
38,435000.0,30.0,1,8,Gdynia,wtórny,blok,beton,plastikowe,miejskie,1970,zamieszkania,200,pełna,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0
39,719000.0,94.74,4,1,Orłowo,pierwotny,apartamentowiec,0,plastikowe,gazowe,0,wykończenia,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
40,215000.0,39.0,2,p,Obłuże,wtórny,blok,0,0,miejskie,1988,0,0,pełna,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,249000.0,38.0,2,3,Witomino,wtórny,blok,wielka,plastikowe,miejskie,1980,zamieszkania,300,spółdzielcze,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
