,cena (zł),powierzchnia,liczba pokoi,piętro,adres,rynek,rodzaj zabudowy,materiał budynku,okna,ogrzewanie,rok budowy,stan wykończenia (do),czynsz,forma własności,internet,telewizja kablowa,telefon,rolety antywłamaniowe,drzwi/okna antywłamaniowe,domofon/wideofon,monitoring/ochrona,system alarmowy,teren zamknięty,meble,pralka,zmywarka,lodówka,kuchenka,piekarnik,telewizor,balkon,pom. użytkowe,garaż/miejsce parkingowe,piwnica,ogródek,taras,winda,dwupoziomowe,oddzielna kuchnia,klimatyzacja
841,387000.0,53.04,3,4,Sopot,wtórny,blok,wielka,0,miejskie,1970,0,0,pełna,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
843,810064.0,48.4,2,1,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
844,845056.0,48.4,2,2,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
845,849052.0,46.4,2,3,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
846,783464.0,36.8,2,2,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
847,787460.0,36.8,2,3,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
848,1068006.0,67.3,3,p,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
849,962636.0,56.2,2,3,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
850,963041.0,56.3,2,2,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
851,931365.0,56.3,2,1,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
852,988378.0,54.3,2,3,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
853,766746.0,34.9,2,1,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
854,820848.0,37.4,2,p,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
855,1304224.0,71.9,3,p,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
856,1163149.0,63.4,3,p,Dolny,pierwotny,apartamentowiec,0,drewniane,miejskie,2017,wykończenia,0,pełna,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
857,619000.0,110.0,3,2,Centrum,wtórny,kamienica,0,0,miejskie,0,0,0,pełna,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
858,625000.0,74.0,3,1,Dolny,wtórny,kamienica,0,0,gazowe,0,remontu,0,pełna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
859,625000.0,74.0,3,1,Dolny,wtórny,kamienica,0,0,gazowe,0,remontu,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
860,339000.0,49.0,2,p,Górny,wtórny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,950000.0,67.0,3,p,Dolny,wtórny,kamienica,cegła,plastikowe,0,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862,2054100.0,46.54,2,3,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2018,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
863,1279200.0,30.78,1,1,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2018,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
864,1377600.0,33.47,1,1,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2018,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
865,1709700.0,41.24,2,1,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2018,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
866,2878200.0,59.06,2,p,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2018,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
867,689000.0,93.6,3,3,Dolny,wtórny,kamienica,cegła,plastikowe,gazowe,0,zamieszkania,330,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
868,999000.0,93.0,3,3,Dolny,wtórny,kamienica,0,0,gazowe,1900,0,0,pełna,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
869,639000.0,85.0,3,1,Sopot,wtórny,0,0,0,0,0,0,0,pełna,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
870,13869466.0,359.79,5,1,Dolny,pierwotny,apartamentowiec,0,0,miejskie,2018,0,0,pełna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
873,1049301.0,105.99,3,p,Górny,wtórny,kamienica,0,0,gazowe,1910,0,0,pełna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
874,1078704.0,108.96,4,1,Górny,wtórny,kamienica,0,0,gazowe,0,0,0,pełna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
875,279000.0,34.4,1,p,Sopot,wtórny,blok,0,0,miejskie,1980,0,0,pełna,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
876,1500000.0,170.0,5,2,Sopot,wtórny,kamienica,cegła,drewniane,0,1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
877,1290000.0,76.9,3,2,Dolny,wtórny,kamienica,0,0,gazowe,1920,0,0,pełna,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
878,2990000.0,183.0,5,2,Sopot,wtórny,kamienica,0,0,miejskie,0,0,0,pełna,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
879,1490000.0,113.0,5,2,Sopot,wtórny,kamienica,cegła,0,0,0,0,0,pełna,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
880,840000.0,108.67,3,p,Górny,wtórny,kamienica,cegła,plastikowe,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
